,0
270," How can we in the open source community clarify best practices and recommended operations to model complex , interconnected services so users can focus on their ideas ? How can we as developers deliver recommended best practices in our applications so users are free to focus on the science on their choice of substrate ( e.g. , laptop , cloud , or bare metal/x86 , ARM , ppc64el , or s390x ) ?"
271, Customers are looking to extend the benefits beyond big data with the power of the deep learning and accelerated analytics ecosystems
272," Jim McHugh explains how customers are leveraging deep learning and accelerated analytics to turn insights into AI-driven knowledge and covers the growing ecosystem of solutions and technologies that are delivering on this promise , such as the NVIDIA DGX-1 , which integrates power of deep learning and accelerated analytics together in a single hardware and software system ."
273," In-chip analytics blasted onto the scene a few years back , impressing companies with its ability to significantly impact how companies handle complex data ( both large and disparate ) with less hardware while eliminating the data preparation nightmare"
274," But the real impact of in-chip analytics is only now being realized as companies exploit in-chip’s extensibility , scaleability , and flexibility to take business intelligence to the next level with new IoT and AI technologies"
275, Guy Levy-Yurista explains the unexpected consequences of making big data processing significantly more agile than ever before and the impact it’s having on human insight consumption .
276," Legacy enterprise data warehouse ( EDW ) architecture , geared toward day-to-day workloads associated with operational querying , reporting , and analytics , is often ill-equipped to handle the volume of data or traffic and varied data types associated with modern ad hoc analytics platforms"
277," Faced with the challenges of increasing pipeline speed , aggregation , and visualization in a simplified , self-service fashion , organizations are considering newer technologies such as Apache Spark , Hadoop , Kafka , and columnar databases as key enabling technologies to optimize their EDW architectures ."
278, Data wrangling has quickly become a hot topic and technology category within the big data analytics industry
279, Stakeholders across business and IT are hungry to learn the right way to think about applying these new wrangling solutions to the data and analytics efforts of their organization
280," As with any emerging technology , the leading question from organizations still learning about data wrangling is , “How are other organizations wrangling data and what are the benefits they are realizing ? ” If this question sounds familiar , then this is the session for you ."
281," Machine data is growing at an exponential rate , and a key driver for this growth is the Internet of Things ( IoT ) revolution"
282, Johan Bjerke explains how to make use of and find value in the unstructured machine data that plays an important role in the new connected world .
283, Businesses are clamoring to capture all data possible and harness it as a revenue driver
284, The challenge is bringing the data together
285, Companies that can capture and harness this data can benefit accordingly .
286," Businesses today are driven to adopt big data technologies for their analytics for a number of reasons : There are new types of data sources that are not handled by the existing data warehouses ; there is a growth in data velocity and data volumes that becomes prohibitive to process using existing data warehouses ; or there are different types of analytics not supported by existing infrastructure , to name a few ."
287," Strata + Hadoop World program chairs Roger Magoulas , Doug Cutting , and Alistair Croll welcome you to the first day of keynotes ."
288," Since its inception , big data solutions have best been known for their ability to master the complexity of the volume , variety , and velocity of data"
289," But as we enter the era of data democratization , there’s a new set of concerns to consider"
290," Mike Olson discusses the new dynamics of big data and how a renewed approach focused on where , who , and why can lead to cutting-edge solutions ."
291," During election season , we’re tasked with considering the next four years and comparing platforms across candidates"
292, What’s good for the country is good for your data
293, Consider what the next four years will look like for your organization
294," How will you lower costs and deliver innovation ? Jack Norris reviews the requirements for a winning data platform , such as speed , scale , and agility ."
295," Susan Woodward discusses venture outcomes—what fraction make lots of money , which just barely return capital , and which fraction fail completely"
296," Susan uses updated figures on the fraction of entrepreneurs who succeed , including some interesting details on female founders of venture companies ."
297," The power of artificial intelligence and advanced analytics emerges from the ability to analyze and compute large , disparate datasets from varied devices and locations , such as predictive medicine and automated cars , at lightning-fast speed"
298, These real-time insights require continued innovation to fuel the changing landscape of AI
299, Martin Hall explains why collaboration and openness are the key elements driving innovation in AI .
300, It is no surprise that reducing operational IT expenditures and increasing software capabilities is a top priority for large enterprises
301," Given its advantages , open source software has proliferated across the globe"
302," While there’s been much discussion on open source versus commercial , CIOs and CTOs at Global 1000 enterprises are increasingly interested in solutions that blend the benefits of both"
303," However , key challenges must be overcome"
304," Enterprise architecture groups are now faced with the difficult task of selecting the right open source software components from an ever-growing set of options , figuring out how to integrate them , and ensuring they work together ."
305," How do we discover what we’re not looking for ? How can we become more serendipitous ? In the age of big data and bioinformatics , such questions are more relevant than ever"
306," We develop new tools to help us spot clues in mountains of information , and machines are getting better and better at aiding discovery"
307," And yet , serendipity remains a very human art"
308, Pagan Kennedy discusses the origins of the word serendipity and qualities of mind that lead to successful searches in the deep unknown .
309, It is clear that we’re at a critical inflection point in the industry—organizations are realizing that they must quickly adapt in order to keep pace in today’s ever changing digital economy
310," Data , your most precious commodity , is increasing at an alarming rate"
311," At the same time , an emerging business imperative has made this data a component of your deepest insights , allowing you to focus on your business outcomes"
312, Patricia Florissi explains why the recent formation of Dell EMC ensures that your analytics capabilities will be stronger than ever .
313," Healthcare , a $ 3 trillion industry , is ripe for disruption through data science"
314," However , there are many challenges in the journey to make healthcare a truly transparent , consumer-centric , data-driven industry"
315, Sriram Vishwanath explains where data science can have massive impact in healthcare and dispels myths where its apparent use contradicts realities within the healthcare ecosystem .
316, American politics is adrift in a sea of polls
317," This year , that sea is deeper than ever before—and darker"
318, Data science is upending the public opinion industry
319," But to what end ? In a brief , illustrated history of the field , Jill Lepore demonstrates how pollsters rose to prominence by claiming that measuring public opinion is good for democracy and asks , “But what if it’s bad ? ”"
320, Quench your thirst with vendor-hosted libations ( and snacks ) while you check out all the exhibitors in the Expo Hall
321, It’s also a great time to meet and mingle with fellow attendees and Strata + Hadoop World speakers and authors .
322, Birds of a Feather ( BoF ) discussions are a great way to informally network with people in similar industries or interested in the same topics .
323, Calling all data enthusiasts .
324, Sponsored by :
325, Increasing demand for more and higher-granularity data continues to push the boundaries of what is possible to process using big data technologies
326, Netflix’s Big Data Platform team manages a highly organized and curated data warehouse in Amazon S3 with over 40 petabytes of data
327," At this scale , we are reaching the limits of partitioning , with thousands of tables and millions of partitions per table ."
328," Tyler Akidau offers a whirlwind tour of the evolution of massive-scale data processing at Google , from the original MapReduce paradigm to the high-level pipelines of Flume to the streaming approach of MillWheel to the portable , unified streaming/batch model of Google Cloud Dataflow and Apache Beam ( incubating )"
329," Tyler examines in detail the basic architectural concepts that underlie these four models , highlights their similarities , contrasts their differences ( particularly regarding traditional batch versus streaming ) , and provides insight into the use cases the drove the progression of the designs to what exists today"
330," He also highlights similarities and differences with related open source systems such as Flink , Spark , Storm , and Gearpump , calling out ways in which they’re converging on and diverging from the Beam model and what that means when running Beam pipelines on their respective runners ."
331," Today Metamarkets processes over 300 billion events per day , representing over 100 TB going through a single pipeline built entirely on open source technologies including Druid , Kafka , and Samza"
332," Growing to such a scale presents engineering challenges on many levels , not just in design but also with operations , especially when downtime is not an option ."
333," In the last decade , fire services around the world have started to notice both the challenges and opportunities of our information society"
334," More and more information about their operating environment has been made available , either as open data or by in-government data-sharing initiatives , which has made clear fire services’ poor information position as well as the resulting potential unnecessary risks their firefighters take"
335," The fear in the current information climate is that if a firefighter is injured or killed on the job , the investigation might show that the fire service knew in advance ( but didn’t or couldn’t share ) vital information that could have prevented the incident ."
336, Cluster computing frameworks such as Hadoop or Spark are tremendously beneficial in processing and deriving insights from data
337," However , long query latencies make these frameworks suboptimal choices to power interactive applications"
338," Organizations frequently rely on dedicated query layers such as relational databases and key-value stores for faster query latencies , but these technologies suffer many drawbacks for analytic use cases ."
339, Airbnb developed Caravel to provide all employees with interactive access to data while minimizing friction
340," Caravel provides a quick way to intuitively visualize datasets by allowing users to create and share interactive dashboards ; a rich set of visualizations to analyze your data , as well as a flexible way to extend the capabilities ; an extensible , high-granularity security model allowing intricate rules on who can access which features and integration with major authentication providers ( database , OpenID , LDAP , OAuth , and REMOTE_USER through Flask AppBuilder ) ; a simple semantic layer , allowing you to control how data sources are displayed in the UI by defining which fields should show up in which drop-down and which aggregation and function ( metrics ) are made available to the user ; and deep integration with Druid that allows for Caravel to stay blazing fast while working with large , real-time datasets ."
341," Uma Raghavan explains why you’re about to see companies whose business models depend on using their customers’ data , like Facebook , Google , and many others , scramble to keep up with the flood of new and evolving laws on data privacy"
342," Whether using your customers’ data , buying third-party data , or mashing it up to make derivative data to better market to customers , create better products and services , or provide customer support , you could be in violation of emerging data privacy laws from around the world that carry stiff fines ( up to 5 % of revenue ) or even jail time for violations of the use of people’s personal data"
343," Ultimately , using customer data is a balance between what your business needs to do to run efficiently and effectively and what the brand , regulatory , and legal risks are if you get caught in violation of the law"
344, Join Uma to learn what’s needed to manage your data risk effectively .
345, Data science is a process of abstraction
346," In order to explain or to predict a real phenomena , the process starts with acquiring and refining the data"
347," It then moves between the three layers of abstraction : transformations ( data abstraction ) , visualizations ( visual abstraction ) , and modeling ( symbolic abstraction )"
348, All three layers of abstraction together build a truer ( or closer ) representation of the real phenomena .
349, AI is moving from consumer applications to the enterprise and will soon affect all parts of operations from the customer to the product to the enterprise
350," Stephen Pratt , the CEO of Noodle.ai and former head of Watson for IBM GBS , presents a shareholder value perspective on why enterprise artificial intelligence ( eAI ) will be the single largest competitive differentiator in business over the next five years—and what you can do to end up on top ."
351," Data should be something you can see , feel , hear , taste , and touch"
352," Cameron Turner , Brad Sarsfield , Hanna Kang-Brown , and Evan Macmillan cover the emerging field of sensory data visualization , including data sonification"
353," In an anecdotal survey , they explore real-life examples of solutions deployed to production in industries spanning from consumer goods to heavy industrial and large-scale manufacturing to the IoT that take advantage of auditory , touch , and other senses as alternative means of what has traditionally been called data visualization"
354," They then investigate the hypothesis that we might better consume information by moving beyond words , numbers , and pictures and start using sound , smell , and even taste as a means to better understand the state of the world"
355," Topics will tie into Cameron’s recent interview on the , which focused on data sonification , extending these topics into the future of sensory data collection and consumption ."
356," Agility is king in the world of finance , and a message-driven architecture is a mechanism for building and managing discrete business functionality to enable agility"
357," In order to accommodate rapid innovation , data pipelines must evolve"
358," However , implementing microservices can create management problems , like the number of instances running in an environment ."
359," To manage the ever-increasing volume and velocity of data within your company , you may have successfully made the transition from single machines and one-off solutions to large , distributed stream infrastructures in your data center powered by Apache Kafka"
360, But what’s to be done if one data center is not enough ?
361," Digital consumer companies are disrupting the old guard and changing the way we do business in fundamental ways ; for example , Uber , Airbnb , and Zipcar have disrupted the traditional businesses of taxis , hotels , and car rental companies by leveraging software capabilities to create new business models"
362, Opportunities in the industrial world are expected to outpace consumer business cases
363, Time series data is growing exponentially as new machines around the world get connected
364," Venkatesh Sivasubramanian and Luis Ramos explain how GE makes it faster and easier for systems to access ( using a common layer ) and perform analytics on a massive volume of time series data by taking what they’ve learned from Apache Arrow and applying it today for highly efficient time series storage using Apache Apex , Spark , and Kudu ."
365, IoT and financial trading platforms share some commonality : they intercept massive amounts of sensor or event data and must provide insights and actions in real time
366," The technology challenge is huge since we need to combine fast event streams , historical state , and consistent data update transactions ( e.g. , time series data and statistical aggregators ) with data science and machine learning and present results through real-time dashboards or drive immediate corrective actions ."
367, Recent years have seen significant evolution of the Internet of Things
368, It has become increasingly easy to connect devices to the Internet and send sensory data to the public cloud
369," However , the adoption of IoT platforms and stream analytics within the enterprise is lagging and less prevalent , an effect of the lack of skilled developers required to deploy an on-premises platform and the limited demonstration of high value in real-life use cases ."
370, The history of the digital age is being written in photographs
371," Today , for better or worse , everyone is a both a photographer and a subject"
372," We need to start thinking about visual content in a radically different way , as both organizations and individuals"
373," To innovate in the visual age , we have to crack the visual code"
374," This means learning as much as we can , not only about how we see but also about how computers see so we can teach them to discover hidden opportunities and disregard hidden biases"
375," If we try hard enough , maybe they’ll teach us to do the same ."
376, Otto is the world’s second-largest online retailer in a highly competitive market space
377," Superior customer experience in terms of higher empathy , relevance , and speed is key to positive customer experience , and this is where AI comes into play"
378, Rupert Steffner explores the cornerstones retailers have to focus when building their customers’ experience on artificial intelligence
379, It starts with having clear goals and a value system that finds the right balance between customer retention and revenue optimization
380," Even if AI is hereby built from the seller’s perspective , retailers will need a “good AI” approach that treats consumers fairly and as partners to optimize long-term customer equity ."
381," At Strata + Hadoop World 2012 , Amy O’Connor and her daughter Danielle Dean shared how they learned and built data science skills at Nokia"
382," ( At the time , Amy led the Big Data team at Nokia where Danielle was an intern still working on her PhD . ) In the past four years , the landscape of data science has changed drastically"
383," In 2012 , most data science skills had to be learned organically ; today , there have been major advances in tools , education , and the general culture in organizations taking on data science work"
384," This year , Amy and Danielle explore how the landscape in the world of data science has changed and explain how to be successful deriving value from data today"
385," Along the way , they outline the innovative methods they’ve used to find and build a data science skill set within their teams and for those in their customer base ."
386, Most people will agree that interviewing is one of the most difficult and least enjoyable professional activities
387," Given the recent demand for data analytics and data science skills , it has become an increasingly daunting task for managers to adequately test and qualify candidates ."
388," The electrical utility industry , an industry accustomed to gathering customer usage data on a monthly basis , now has access to a regular stream of data from smart meters and other smart sensors"
389," Analyzing these new streams of data has given utilities the opportunity to understand their customer usage patterns , perform preventative maintenance , detect fraud , exercise demand management , and allocate resources more effectively ."
390, Machine-learning tools promise to help solve data curation problems
391," While the principles are well understood , the engineering details in configuring and deploying ML techniques are the biggest hurdle"
392, Ihab Ilyas explains why leveraging data semantics and domain-specific knowledge is key in delivering the optimizations necessary for truly scalable ML curation solutions .
393, Twitter generates billions and billions of events per day
394, Analyzing these events in real time presents a massive challenge
395," Karthik Ramasamy offers an overview of the end-to-end real-time stack Twitter designed in order to meet this challenge , consisting of DistributedLog ( the distributed and replicated messaging system ) and Heron ( the streaming system for real-time computation ) ."
396, Many initiatives for running applications inside containers have been scoped to run on a single host
397," Using Docker containers for large-scale production environments poses interesting challenges , especially when deploying distributed big data applications like Apache Hadoop and Apache Spark ."
398," The Hearst Corporation monitors trending content on all of its 300+ sites worldwide , providing metrics to editors and promoting cross-platform content sharing"
399," To facilitate this , Hearst has built a clickstream analytics pipeline entirely in the cloud that transmits and processes over 30 TB of data a day ."
400," Society is standing at the gates of what promises to be a profound transformation in the nature of work , the role of data , and the future of the world’s major industries"
401," Intelligent machines will play a variety of roles in every sector of the economy , from the energy supply chain to legal services and manufacturing ."
402," According to the Identity Theft Resource Center database , more than 169,068,506 records were exposed in 2015"
403," That stolen data has a much longer shelf life than most realize and will be used to continue the cycle of theft , deception , and fraud through one of the fastest-growing and most lucrative businesses for criminals : account takeover ( ATO ) attacks ."
404, Traditional security tools like security information and event managers ( SIEMs ) are struggling to keep up with the terabytes of event data ( 250M to 2B events ) being generated each day from an ever-growing number of devices
405," Cybersecurity has become a data problem , and enterprises need to reply with scalable solutions to enable effective hunting and combat evolving attacks"
406, Rethinking the cybersecurity problem as a data-centric problem led Accenture Labs’s Cybersecurity team to use emerging big data tools along with new approaches such as graph databases and analysis to exploit the connected nature of the data to its advantage
407," Joshua Patterson , Michael Wendt , and Keith Kraus explain how Accenture Labs’s Cybersecurity team is using Apache Kafka , Spark , and Flink to stream data into Blazegraph and Datastax Graph to accelerate cyber defense ."
408," Kafka , developed at LinkedIn in 2010 , was originally an open system to encourage adoption ; developers could easily create new data streams , add data to the pipeline , and read data as it was created"
409," It succeeded brilliantly at encouraging developers to build new data applications , improved the reliability of systems and applications , and helped LinkedIn scale its logging and data infrastructure ."
410," Hadoop in the cloud is becoming an increasingly common use case , as the cloud provides rapid access to flexible and low-cost IT resources"
411," Similar to traditional on-premises Hadoop clusters , data authorization becomes more crucial than ever for the multitenant cloud"
412, A transparent solution that decouples compute and storage is required for a simple and smooth transition
413," And since the underlying data is shared across the components , a unified authorization policy should be enforced to adapt the flexibility of Hadoop ecosystem ."
414, Apache Kudu was first announced as a public beta release at Strata NYC 2015 and recently reached 1.0
415, This conference marks its one year anniversary as a public open source project
416," Todd Lipcon offers a very brief refresher on the goals and feature set of the Kudu storage engine , covering the development that has taken place over the last year , including new features such as improved support for time series workloads , performance improvements , Spark integration , and highly available replicated masters"
417," Along the way , Todd explores real-world production deployments and some of the tools that have been built to help operators manage a Kudu cluster"
418," He ends with a view of the road map of the Kudu project for the upcoming year , including plans for security and other new features ."
419," At P & G , the Global Business Services organization delivers many shared services , including the core data infrastructure and applications from data warehouses to business intelligence and advanced analytics"
420," Terry Mcfadden and Priyank Patel discuss Procter and Gamble’s three-year journey to enable production applications with on-cluster BI technology , exploring in detail the architecture challenges and choices made by the team along this journey , evaluation criteria , and how the final choice ( Arcadia ) fit with the big data infrastructure ."
421," Since its introduction in Spark 1.4 , SparkR has received contributions from both the Spark community and the R community"
422," Xiangrui Meng explores recent community efforts to extend SparkR for scalable advanced analytics—including summary statistics , single-pass approximate algorithms , and machine-learning algorithms ported from Spark MLlib—and shows how to integrate existing R packages with SparkR to accelerate existing R workflows ."
423, Deep learning—the most significant innovation in data science in recent years—presents amazing improvements in the modeling results
424," However , most data scientists don’t yet use deep learning for several reasons : the relative complexity of customizing deep learning models for their own problems , challenges in installing and using the required frameworks , and low performance of open source deep learning frameworks on standard CPUs ."
425," Many areas of applied machine learning require models optimized for rare occurrences , such as class imbalances , and users actively attempting to subvert the system ( adversaries )"
426, The Data Innovation Lab at Capital One has explored advanced modeling techniques for just these challenges
427, The lab’s use case necessitated that it survey the many related fields that deal with these issues and perform many of the suggested modeling techniques
428, It has also introduced a few novel variations of its own .
429," Choice Hotels International is in the midst of a multiyear transformation that is changing key elements of its IT enterprise—replacing its monolithic central reservation system with a cloud-based , microservice-style architecture using Cassandra as the backend"
430, A parallel project is replacing its enterprise data warehouse and reporting systems with an advanced analytics platform based on Spark and Kafka .
431, Modern data science is the creative application of scientific principles to design new tools and processes in areas where a scientific approach has been previously infeasible due to the difficulty or expense of collecting data
432," That’s a mouthful , but if you see data science that way , we’re likely just at the beginning"
433, The people and things that are starting to be equipped with sensors will create data that will enable entirely new classes of problems to be approached more scientifically .
434," Data visualizations are interactive stories that can powerfully engage audiences , giving them insight into the meanings and trends behind numbers"
435, They often begin with a massive spreadsheet of data that has no meaning to the average person
436, Building an effective visualization begins by asking how data can be transformed into a compelling narrative and a dynamic user experience .
437," Apache Flink has seen incredible growth during the last year , both in development and usage , driven , to a large extent , by the fundamental shift in the enterprise from batch to stream processing"
438," A streaming-first architecture enables continuous processing on data that is continuously produced ( as it is in most interesting datasets ) , enabling real-time decisions but also a simplified architecture that can subsume batch processing"
439, Kostas Tzoumas dives into the benefits of using Flink as the central piece of such architecture
440," In addition , Kostas covers the latest developments in the project and the future roadmap , such as the ability to query the state in the stream processor , new libraries ( e.g. , SQL and CEP ) , dynamic scaling , seamless application and Flink updates , and integration between batch and streaming , which leads to radically simplified architecture and deployment"
441, Kostas concludes with a sample of what production users of Flink are currently achieving with the system .
442, The largest challenge for deep learning is scalability
443," With a single GPU server , it takes hours or days to finish training"
444, This doesn’t scale for production service ; eventually you’ll need distributed training in the cloud
445, Google has been working on a large-scale neural network in the cloud for years and has now started sharing the power with developers .
446," Amazon Kinesis is a fully managed , cloud-based service for real-time data processing over large , distributed data streams"
447," Customers who use Amazon Kinesis can continuously capture and process real-time data such as IoT sensor data , website clickstreams , financial transactions , social media feeds , IT logs , location-tracking events , and more"
448," Roy Ben-Alta explores the Amazon Kinesis platform in detail and discusses best practices for scaling your core streaming data ingestion pipeline as well as real-world customer use cases and design pattern integration with Amazon Elasticsearch , AWS Lambda , and Apache Spark ."
449, Structured Streaming is a new effort in Apache Spark to make stream processing simple without the need to learn a new programming paradigm or system
450," Ram Sriharsha offers an overview of Structured Streaming , discussing its support for event-time , out-of-order/delayed data , sessionization , and integration with the batch data stack to show how it simplifies building powerful continuous applications ."
451, There is a growing trend to use modern advanced technology in the finance industry
452," Information is often obtained on much larger scales , in various modalities , and from multiple dimensions , which greatly enriches the profiles of financial entities and leads to a rapid increase in the complexity of financial analytics"
453," In the meantime , there’s increasing demand for automating the process of data statistics , feature engineering , and model tuning ."
454," Streaming machine learning is being integrated in Spark 2.1 , but you don’t need to wait"
455, Holden Karau and Seth Hendrickson demonstrate how to do streaming machine learning using Spark’s new Structured Streaming and walk you through creating your own streaming model
456, Holden and Seth will also cover how to use structured machine-learning algorithms ( if they are merged by the talk )
457," By the end of this session , you’ll have a better understanding of Spark’s Structured Streaming API as well as how machine learning works in Spark ."
458," Business and franchise users need access to data to generate reports and dashboards , perform analytics , and create customer-centric predictive/personalization models that assist with managing demand at Choice Hotel properties , but making data available in an accurate , timely , and reliable manner to anyone who is authorized to consume it is no easy task ."
459, Most people are surprised to know that Spark works with Java
460, Maybe they saw the initial Java code that used anonymous classes and dismissed it as an ungainly mess
461, They were right—plain Java and Spark are ugly together
462, Then Java 8’s lambdas came along
463," Now , instead of an ungainly mess , we get the tight syntax of lambda expressions offering code that is readable and testable"
464," Best of all , it uses Java ."
465, Deep learning has taken us a few steps further toward achieving AI for a man-machine interface
466," However , deep learning technologies like speech recognition and natural language processing remain a mystery to many"
467," Yishay Carmiel reviews the history of deep learning , the impact it’s made , recent breakthroughs , interesting solved and open problems , and what’s in store for the future ."
468, A text-mining system must go way beyond indexing and search to appear truly intelligent
469," First , it should understand language beyond keyword matching"
470," ( For example , distinguishing between “Jane has the flu , ” “Jane may have the flu , ” “Jane is concerned about the flu , '' “Jane’s sister has the flu , but she doesn’t , ” or “Jane had the flu when she was 9” is of critical importance . ) This is a natural language processing problem"
471," Second , it should “read between the lines” and make likely inferences even if they’re not explicitly written"
472," ( For example , if Jane has had a fever , a headache , fatigue , and a runny nose for three days , not as part of an ongoing condition , then she likely has the flu . ) This is a semi-supervised machine-learning problem"
473," Third , it should automatically learn the right contextual inferences to make"
474," ( For example , learning on its own that fatigue is sometimes a flu symptom—only because it appears in many diagnosed patients—without a human ever explicitly stating that rule . ) This is an association-mining problem , which can be tackled via deep learning or via more guided machine-learning techniques ."
475," Political analysts may once have depended entirely on subjective attributes , such as ethics , charisma , and nonscientific impressions of the electorate to forecast elections , but with the rise of data generated from human daily interaction with software systems , it’s possible to add meaningful data-driven attributes to political forecasting alongside all of the demographic information available to today’s political consultants ."
476, Predictive maintenance is about anticipating a failure and taking preemptive action
477," With the recent advances in accessible machine learning and cloud storage , there is tremendous opportunity to utilize the entire gamut of data coming from factories , buildings , machines , and sensors to not only monitor the health of equipment but also predict when it is likely to malfunction or fail"
478," However , as simple as it sounds in principle , in reality the data required to actually make a prediction in advance and in a timely manner is hard to come by"
479," The data that is collected is often incomplete , partial , or just not enough , making it unsuitable for modeling ."
480," For M & A speculators , intellectual property managers , and attorneys , the “holy grail” for patents is to be able to accurately assess the value of an individual invention and aggregate up to portfolios"
481," Ignoring the softer side of a patent’s value ( i.e. , its power to halt competitive development and/or neutralize the threat of enforcement ) , there are few liquidity events—specifically litigation damages/settlements , portfolio acquisitions , and licensing fees—that allow assignees to monetize individual patents ; none of these typically make the associated data available to the research community ."
482," Martin Wicke and Josh Gordon field questions related to their tutorial , Deep Learning with TensorFlow"
483," Ask them about TensorFlow , machine learning ( and deep learning in particular ) , deploying ML in products , and their favorite resources to learn more about ML or any other question you might have ."
484," Mark Grover , Jonathan Seidman , and Ted Malaska , the authors of < em > Hadoop Application Architectures < /em > , participate in an open Q & A session on considerations and recommendations for the architecture and design of applications using Hadoop"
485, Come with questions about your use case and its big data architecture or just listen in on the conversation .
486, Join Apache Beam and Google Cloud Dataflow engineers to ask all of your questions about stream processing
487," They’ll answer everything from general streaming questions about concepts , semantics , capabilities , limitations , etc"
488," to questions specifically related to Apache Beam , Google Cloud Dataflow , and other common streaming systems ( Flink , Spark , Storm , etc . ) ."
489, Join Xiangrui Meng and Ram Sriharsha to discuss the state of Spark .
490," John Akred , Stephen O’Sullivan , and Julie Steele will field a wide range of detailed questions about developing a modern data strategy , architecting a data platform , and best practices for CDO and its evolving role"
491," Even if you don’t have a specific question , join in to hear what others are asking ."
492," VoltDB promises full ACID with strong serializability in a fault-tolerant , distributed SQL platform , as well as higher throughput than other systems that promise much less"
493, But why should users believe this ?
494," Using Hadoop and other big data technologies , the YP Analytics application allows advertisers and media and advertising consultants to understand their digital presence and ROI"
495," Richard Langlois explains how Yellow Pages ( YP ) used this expertise for an internal use case that delivers real-time analytics with Tableau , using OLAP on Hadoop and enabled by its stack ( HDFS , Parquet , Hive , Impala , and AtScale ) ."
496," We all hear stories about the potential value of big data analytics , but it’s important to understand that big data analytics is a journey of introspection , operational excellence , and new , winning strategies"
497," John Morrell leads a panel of practitioners from Dell , National Instruments , and Citi—companies that are gaining real value from big data analytics—as they explore their companies’ big data journeys , offering lessons learned and best practices"
498, Join John to hear real-world stories from organizations that are seeing concrete results and learn how analytics can answer groundbreaking new questions about business and create a path to becoming a data-driven organization .
499," Haoyuan Li offers an overview of Alluxio ( formerly Tachyon ) , a memory-speed virtual distributed storage system"
500," The Alluxio open source community is one of the fastest growing open source communities in big data history with more than 250 developers from over 50 organizations around the world , and the Alluxio system has been deployed at a number of companies , including Alibaba , Baidu , Barclays , Intel , Huawei , and Qunar"
501," In some of these deployments , Alluxio has been running in production for over a year , managing PBs of data ."
502, Operational data stores ( ODS ) serve as a data staging area between transactional databases and data warehouses
503," Data from multiple sources are integrated , cleansed , and prepped in the ODS before populating a data warehouse for long-term storage and analytics"
504, Traditional ODS systems encounter severe challenges when it comes to dealing with the wide variety and massive volume of data common to data warehouses built on top of the Hadoop platform
505, It’s time to rethink the requirements and the architecture for the next generation of an ODS on top of Hadoop
506," Starting from first principles , Vinayak Borkar defines the requirements for a modern operational data store and explores some possible architectures to support those requirements ."
507, The amount of cutting-edge technology that Azure puts at your fingertips is incredible
508," Tasks like building a web server or integration workflow that used to take weeks can now be accomplished in seconds , and bundling Azure services allows developers to create solutions that , even a few months ago , would have seemed out of reach"
509, Artificial intelligence is no exception
510," Azure enables sophisticated capabilities in artificial intelligence , machine learning , deep learning , cognitive services , and advanced analytics"
511, Rimma Nehme explains why Azure is the next AI supercomputer and how this vision is being implemented in reality
512," Along the way , Rimma explains how to use Azure to process data at any scale and how to compose tools such as Spark and R and do scale-out querying on demand at massive scale ."
513, BigQuery provides petabyte-scale data warehousing with consistently high performance for all users
514," However , users coming from traditional enterprise data warehousing platforms often have questions about how best to adapt their workloads for BigQuery"
515," Chad Jennings explores best practices and integration with BigQuery with special emphasis on loading and transforming data for BigQuery , as well as how BigQuery integrates with the rest of the Google Cloud Platform—including Apache Spark on Google Cloud Dataproc"
516, Chad also discusses Big Query’s SQL dialect and its ability to handle the industry’s most common queries .
517," Organizations from small startups to large enterprises are increasingly using open source frameworks such as Apache Hadoop , Spark , and Presto to address a broad range of analytic use cases , including business intelligence , stream processing , and machine learning"
518," However , with any big data project comes the risk of uncapped costs , delayed timelines , expensive infrastructure , and difficult choices about where to focus in the open source toolset . Jonathan Fritz explains how organizations are deploying these and other big data frameworks with Amazon Web Services ( AWS ) and how you too can quickly and securely run Spark and Presto on AWS"
519," Jonathan demonstrates how to lower costs and accelerate deployment of big data applications , using Amazon EMR to easily create a Hadoop cluster running Spark and Presto and querying data in Amazon S3 using ANSI SQL"
520," Jonathan then explores how you can use Amazon S3 as a highly scalable , durable , and secure data lake by decoupling compute from storage , before outlining best practices to lower costs using Amazon EC2 Spot Instances and discussing how to secure your clusters using AWS’s extensive security capabilities ."
521," Join Max Shron , former consultant on data science and current head of Warby Parker’s data science team , for a Q & A all about data science consulting"
522, Bring your questions about getting into the data science consulting business ( or your questions about how to transition from consulting to something new )
523," Even if you don’t have questions , join in to hear what others are asking ."
524, Join Apache Kafka cocreator and PMC chair Jun Rao and Apache Kafka committer and architect of Kafka Connect Ewen Cheslack-Postava for a Q & A session about Apache Kafka
525," Bring your questions about Kafka internals or key considerations for developing your data pipeline and architecture , designing your applications , and running in production with Kafka"
526," Even if you don’t have a specific question , join in to hear what others are asking ."
527," Rajesh Shroff reviews the big data and analytics landscape , lessons learned in enterprise over the last few years , and some of the key considerations while designing a big data systems"
528," Rajesh also highlights differentiations in the Cisco Unified Computing Systems ( UCS ) platform , outlines Cisco’s big data ecosystem partnerships and certified Cisco-validated designs ( CVDs ) , and demonstrates what UCS Director Express can bring to managing your big data environment by significantly increasing productivity and reducing operational cost ."
529," Big data and Hadoop are a critical part of the data fabric of companies ; as such , proper information governance is key in order to support data-driven applications that extend line-of-business processes , radically transforming industry-specific solutions"
530," With big data and Hadoop a general-purpose , reusable resource , developers and administrators need to meet the critical enterprise adoption criteria of correctness , quality , consistency , compliance , and traceability"
